"search-number","evaluation","evals-requested-so-far","trust_low*","trust_high*","lie_low*","lie_high*","trust_fall_low*","trust_fall_high*","lie_fall_low*","lie_fall_high*","trust_rise_low*","trust_rise_high*","lie_rise_low*","lie_rise_high*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","420","500","0","80","0","10","0","4","0","4","0","4","0","4","""186350730""","85.33454545454545","85.33454545454545","85.33454545454545","0","85.33454545454545"
"1","421","500","0","60","0","20","0","3","0","4","0","1","0","4","""474440285""","11.329629629629629","11.329629629629629","11.329629629629629","0","11.329629629629629"
"1","422","500","0","60","0","20","0","3","0","4","0","1","0","4","""-1665181506""","12.335689045936396","12.335689045936396","12.335689045936396","0","12.335689045936396"
"1","423","500","0","60","0","20","0","3","0","4","0","1","0","4","""-1804298725""","13.237226277372264","13.237226277372264","13.237226277372264","0","13.237226277372264"
"1","424","500","0","60","0","20","0","3","0","4","0","1","0","4","""679594186""","13.501779359430605","13.501779359430605","13.501779359430605","0","13.501779359430605"
"1","425","500","0","60","0","20","0","3","0","4","0","1","0","4","""-1216888112""","13.154676258992806","13.154676258992806","13.154676258992806","0","13.154676258992806"
"1","426","500","0","60","0","20","0","3","0","4","0","1","0","4","""1511718520""","13.22887323943662","13.22887323943662","13.22887323943662","0","13.22887323943662"
"1","427","500","0","60","0","20","0","3","0","4","0","1","0","4","""-1038774467""","11.63768115942029","11.63768115942029","11.63768115942029","0","11.63768115942029"
"1","428","500","0","60","0","20","0","3","0","4","0","1","0","4","""-684747689""","12.275985663082437","12.275985663082437","12.275985663082437","0","12.275985663082437"
"1","429","500","0","60","0","20","0","3","0","4","0","1","0","4","""-1639241328""","11.473880597014926","11.473880597014926","11.473880597014926","0","11.473880597014926"
"1","430","500","0","60","0","20","0","3","0","4","0","1","0","4","""-1145133540""","13.93840579710145","13.93840579710145","13.93840579710145","0","13.93840579710145"
"1","431","500","0","40","0","50","0","5","0","3","0","1","0","3","""-809213142""","4.868131868131868","4.868131868131868","4.868131868131868","0","4.868131868131868"
"1","432","500","0","40","0","50","0","5","0","3","0","1","0","3","""-52605448""","4.00354609929078","4.00354609929078","4.00354609929078","0","4.00354609929078"
"1","433","500","0","40","0","50","0","5","0","3","0","1","0","3","""-304510046""","4.975609756097561","4.975609756097561","4.975609756097561","0","4.975609756097561"
"1","434","500","0","40","0","50","0","5","0","3","0","1","0","3","""490525242""","4.624561403508772","4.624561403508772","4.624561403508772","0","4.624561403508772"
"1","435","500","0","40","0","50","0","5","0","3","0","1","0","3","""-1240597326""","4.028169014084507","4.028169014084507","4.028169014084507","0","4.028169014084507"
"1","436","500","0","40","0","50","0","5","0","3","0","1","0","3","""776169812""","4.624087591240876","4.624087591240876","4.624087591240876","0","4.624087591240876"
"1","437","500","0","40","0","50","0","5","0","3","0","1","0","3","""-458526673""","4.512727272727273","4.512727272727273","4.512727272727273","0","4.512727272727273"
"1","438","500","0","40","0","50","0","5","0","3","0","1","0","3","""428860899""","4.236749116607774","4.236749116607774","4.236749116607774","0","4.236749116607774"
"1","439","500","0","40","0","50","0","5","0","3","0","1","0","3","""-1814476125""","4.6286764705882355","4.6286764705882355","4.6286764705882355","0","4.6286764705882355"
